Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
84d2be30-56bc-4bbd-ac86-08bce241a5dc,2018-10-23 17:21:48,Walking,,6.30,1:08:20,10:51,5.53,381.0,126,,"","",2018-10-23-172148.gpx
3c0ecfe6-c7f2-4cf2-b53d-9ed2dd5f1b54,2018-10-22 18:46:23,Walking,,2.88,29:41,10:19,5.81,193.0,51,,"","",2018-10-22-184623.gpx
1b2cf62d-00f3-4534-99f8-3f0975ca5297,2018-10-22 17:03:55,Cycling,,3.42,17:20,5:04,11.83,118.0,62,,"","",2018-10-22-170355.gpx
e9694a4d-4822-40c8-9964-4e01132e86c5,2018-10-20 18:14:17,Cycling,,11.33,37:53,3:21,17.93,288.0,125,,"","",2018-10-20-181417.gpx
26db8fdd-f56d-4811-9f5b-1ac4d90e1cbb,2018-10-19 18:58:18,Walking,,3.08,35:21,11:28,5.23,186.0,53,,"","",2018-10-19-185818.gpx
67a4138d-dd31-4b42-b1f7-23380d126b33,2018-10-19 15:03:52,Walking,,3.61,50:54,14:06,4.26,218.0,25,,"","",2018-10-19-150352.gpx
8ca5ca7d-d1fc-471c-9a98-370ad3eb1a34,2018-10-17 17:14:25,Walking,,2.73,30:26,11:10,5.37,261.0,54,,"","",2018-10-17-171425.gpx
ad3b1562-2fe2-43bb-b359-b8477ee9b842,2018-10-17 11:40:35,Walking,,1.13,11:03,9:50,6.10,70.0,3,,"","",2018-10-17-114035.gpx
0cf1e91d-0faf-4422-a03b-85b951cdc0e5,2018-10-17 07:58:34,Walking,,3.56,34:03,9:33,6.28,220.0,28,,"","",2018-10-17-075834.gpx
dfb6453b-1fa1-4891-aa84-c4376a6732f9,2018-10-16 11:44:48,Walking,,2.03,20:43,10:12,5.88,155.0,23,,"","",2018-10-16-114448.gpx
f497889b-2614-4daa-8c0b-80c9fe952454,2018-10-15 17:06:40,Cycling,,3.52,21:19,6:04,9.90,139.0,61,,"","",2018-10-15-170640.gpx
f2c23cae-2303-472e-be12-d865c1912f1e,2018-10-12 19:58:38,Walking,,2.63,29:42,11:17,5.32,165.0,53,,"","",2018-10-12-195838.gpx
076fe827-a5ab-4bf6-8e7b-f102d7774a24,2018-10-11 07:19:13,Walking,,3.46,33:02,9:32,6.29,215.0,29,,"","",2018-10-11-071913.gpx
316112aa-1c9c-4d9a-95f5-1d182b939dff,2018-10-08 17:29:54,Cycling,,1.88,7:44,4:07,14.58,55.0,44,,"","",2018-10-08-172954.gpx
3fa6e4d4-6f87-4c2d-b6f5-690819abd7b8,2018-10-08 17:06:52,Walking,,1.17,13:54,11:56,5.03,73.0,24,,"","",2018-10-08-170652.gpx
f5af6a90-1654-4992-987c-b76c61facd79,2018-10-04 17:05:50,Walking,,3.39,41:57,12:23,4.85,224.0,63,,"","",2018-10-04-170550.gpx
51e056a4-b3e7-4ed6-9413-1c070008e061,2018-10-02 07:06:07,Walking,,3.52,35:42,10:09,5.91,210.0,27,,"","",2018-10-02-070607.gpx
be8cb888-3e9b-4178-a8dd-5db63ca92ee9,2018-09-05 19:18:38,Walking,,2.78,28:39,10:18,5.83,179.0,39,,"","",2018-09-05-191838.gpx
5148b5a0-b007-4eb4-8001-1e937d441950,2018-07-21 20:32:20,Walking,,2.79,34:22,12:20,4.87,164.0,42,,"","",2018-07-21-203220.gpx
6491314c-0a97-40f5-956a-4320795ad0d9,2018-06-14 06:41:40,Walking,,3.36,34:04,10:09,5.92,207.0,28,,"","",2018-06-14-064140.gpx
60bfd496-3563-4e3a-90f1-36cc4c8f43e5,2018-06-13 17:42:12,Running,,2.13,19:00,8:55,6.73,161.0,23,,"","",2018-06-13-174212.gpx
8564741f-e46c-4edd-a244-4524ea18e290,2018-06-07 06:26:45,Running,,2.85,18:06,6:21,9.45,236.0,42,,"","",2018-06-07-062645.gpx
52c4c2ae-1ccc-4c1d-b84a-ddbff2d46410,2018-06-01 06:00:00,Running,"Eljusspåret",2.71,20:00,7:23,8.12,208.0,41,,"","",2018-06-01-060000.gpx
acc02dac-caf5-4885-85c9-1b7ee582473b,2018-05-04 20:38:01,Walking,,2.71,26:46,9:54,6.06,185.0,41,,"","Kunde springa några meter även om det inte var många 😀",2018-05-04-203801.gpx
4d4e5eb0-ebea-4a7f-8e15-ec8b05fdd837,2018-04-29 20:08:19,Walking,,2.75,29:16,10:40,5.63,177.0,42,,"","",2018-04-29-200819.gpx
aae06afb-aa7d-4fd8-8bc7-d42d8eaa65fa,2018-04-08 17:54:04,Walking,,4.23,42:16,10:00,6.00,257.0,51,,"","",2018-04-08-175404.gpx
c2306b63-8dba-4ded-948e-c4ad6031b8d6,2018-03-29 17:35:49,Walking,,3.99,43:10,10:49,5.54,256.0,72,,"","",2018-03-29-173549.gpx
56333c2e-09fd-40f5-a869-4858aec0fb2c,2017-09-06 07:20:59,Walking,,3.53,33:44,9:33,6.28,214.0,28,,"","",2017-09-06-072059.gpx
26c72699-4dbf-45e4-9e87-0ae23e89d95a,2017-08-26 21:45:02,Running,,10.26,1:10:04,6:50,8.78,844.0,168,,"","",2017-08-26-214502.gpx
eb497a5e-bd1f-42f0-a736-3b4247ae76cb,2017-06-26 18:33:47,Walking,,5.26,1:02:38,11:55,5.04,333.0,85,,"","",2017-06-26-183347.gpx
985c77b7-61ea-4054-97ba-a94b3fa4e641,2017-06-21 18:02:39,Running,,4.71,49:08,10:26,5.75,325.0,74,,"","",2017-06-21-180239.gpx
